"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","RENEWABLE","TOT","KTOE","A","1960",4437.6564,
"AUS","RENEWABLE","TOT","KTOE","A","1961",4491.2248,
"AUS","RENEWABLE","TOT","KTOE","A","1962",4407.7864,
"AUS","RENEWABLE","TOT","KTOE","A","1963",4629.4163,
"AUS","RENEWABLE","TOT","KTOE","A","1964",4498.0414,
"AUS","RENEWABLE","TOT","KTOE","A","1965",4716.7717,
"AUS","RENEWABLE","TOT","KTOE","A","1966",4446.0065,
"AUS","RENEWABLE","TOT","KTOE","A","1967",4575.2651,
"AUS","RENEWABLE","TOT","KTOE","A","1968",4472.9913,
"AUS","RENEWABLE","TOT","KTOE","A","1969",4526.4689,
"AUS","RENEWABLE","TOT","KTOE","A","1970",4304.5237,
"AUS","RENEWABLE","TOT","KTOE","A","1971",4553.9935,
"AUS","RENEWABLE","TOT","KTOE","A","1972",4623.5025,
"AUS","RENEWABLE","TOT","KTOE","A","1973",4509.1621,
"AUS","RENEWABLE","TOT","KTOE","A","1974",4816.5663,
"AUS","RENEWABLE","TOT","KTOE","A","1975",4962.9406,
"AUS","RENEWABLE","TOT","KTOE","A","1976",5015.9788,
"AUS","RENEWABLE","TOT","KTOE","A","1977",4853.855,
"AUS","RENEWABLE","TOT","KTOE","A","1978",4882.8747,
"AUS","RENEWABLE","TOT","KTOE","A","1979",4880.8731,
"AUS","RENEWABLE","TOT","KTOE","A","1980",4745.6816,
"AUS","RENEWABLE","TOT","KTOE","A","1981",5063.2129,
"AUS","RENEWABLE","TOT","KTOE","A","1982",5173.4642,
"AUS","RENEWABLE","TOT","KTOE","A","1983",5006.5492,
"AUS","RENEWABLE","TOT","KTOE","A","1984",4912.525,
"AUS","RENEWABLE","TOT","KTOE","A","1985",5165.7639,
"AUS","RENEWABLE","TOT","KTOE","A","1986",4729.3445,
"AUS","RENEWABLE","TOT","KTOE","A","1987",4700.8025,
"AUS","RENEWABLE","TOT","KTOE","A","1988",4809.8022,
"AUS","RENEWABLE","TOT","KTOE","A","1989",4981.7283,
"AUS","RENEWABLE","TOT","KTOE","A","1990",5074.1807,
"AUS","RENEWABLE","TOT","KTOE","A","1991",5192.7868,
"AUS","RENEWABLE","TOT","KTOE","A","1992",4728.0357,
"AUS","RENEWABLE","TOT","KTOE","A","1993",5482.5403,
"AUS","RENEWABLE","TOT","KTOE","A","1994",5382.1582,
"AUS","RENEWABLE","TOT","KTOE","A","1995",5531.4035,
"AUS","RENEWABLE","TOT","KTOE","A","1996",6109.3292,
"AUS","RENEWABLE","TOT","KTOE","A","1997",6399.0924,
"AUS","RENEWABLE","TOT","KTOE","A","1998",6184.6136,
"AUS","RENEWABLE","TOT","KTOE","A","1999",6269.251,
"AUS","RENEWABLE","TOT","KTOE","A","2000",6353.5778,
"AUS","RENEWABLE","TOT","KTOE","A","2001",6478.5325,
"AUS","RENEWABLE","TOT","KTOE","A","2002",6755.8183,
"AUS","RENEWABLE","TOT","KTOE","A","2003",6626.507,
"AUS","RENEWABLE","TOT","KTOE","A","2004",6529.9896,
"AUS","RENEWABLE","TOT","KTOE","A","2005",6462.4391,
"AUS","RENEWABLE","TOT","KTOE","A","2006",6652.6082,
"AUS","RENEWABLE","TOT","KTOE","A","2007",6874.7732,
"AUS","RENEWABLE","TOT","KTOE","A","2008",7056.5633,
"AUS","RENEWABLE","TOT","KTOE","A","2009",5582.3159,
"AUS","RENEWABLE","TOT","KTOE","A","2010",6677.3716,
"AUS","RENEWABLE","TOT","KTOE","A","2011",6917.5432,
"AUS","RENEWABLE","TOT","KTOE","A","2012",6892.5844,
"AUS","RENEWABLE","TOT","KTOE","A","2013",7659.1964,
"AUS","RENEWABLE","TOT","KTOE","A","2014",7920.788,
"AUS","RENEWABLE","TOT","KTOE","A","2015",8002.524,
"AUS","RENEWABLE","TOT","KTOE","A","2016",8283.339,
"AUS","RENEWABLE","TOT","KTOE","A","2017",8897.4181,
"AUS","RENEWABLE","TOT","KTOE","A","2018",9059.0953,
"AUS","RENEWABLE","TOT","KTOE","A","2019",9405.018,
"AUT","RENEWABLE","TOT","KTOE","A","1960",1750.2006,
